name,title,company,source
Dr. Sreedhara Panicker Somanath,Chairman,Indian Space Research Organisation,scraped_techsparks2024
Shri Amitabh Kant,G20 Sherpa,Government of India,scraped_techsparks2024
Ronnie Screwvala,"Co-founder,  & Swades Foundation",upGrad,scraped_techsparks2024
Bhavish Aggarwal,Founder,Ola,scraped_techsparks2024
Dr. Rohini Srivathsa,"CTO,  India and South Asia",Microsoft,scraped_techsparks2024
Anil Agrawal,Member,Competition Commission of India,scraped_techsparks2024
Mabel Chacko,Co-founder & COO,Open Financial Technologies,scraped_techsparks2024
Ashutosh Sharma,"Head of Growth Investments, India & Asia",Prosus Ventures,scraped_techsparks2024
Mukul Arora,Co-Managing Partner,Elevation Capital,scraped_techsparks2024
Nithin Kamath,"Founder & CEO,  & Rainmatter",Zerodha,scraped_techsparks2024
Naveen Tewari,"Founder & CEO,  Group",InMobi,scraped_techsparks2024
Rahul Chari,Founder & CTO,PhonePe,scraped_techsparks2024
Lalit Keshre,Co-founder & CEO,Groww,scraped_techsparks2024
Kunal Bahl,"Co-founder,  & Titan Capital",Snapdeal,scraped_techsparks2024
Vishal Dhupar,"Managing Director, Asia South",NVIDIA,scraped_techsparks2024
Ananth Narayanan,Founder & CEO,Mensa Brands,scraped_techsparks2024
Shashank Kumar,Managing Director and Co-founder,Razorpay,scraped_techsparks2024
Siddarth Pai,"Founding Partner, Chief Financial Officer & ESG Officer",3one4 Capital,scraped_techsparks2024
"Dr. Sreedhara Panicker SomanathChairman, Indian Space Research Organisation",Dr. Sreedhara Panicker Somanath,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Subbu IyerFounder & CEO, Giggr Technologies",Subbu Iyer,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Sharad SanghiFounder & CEO, Neysa",Sharad Sanghi,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Nithin KamathFounder & CEO, Zerodha & Rainmatter",Nithin Kamath,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
"Anshul KhemukaPartner, Khaitan & Co",Anshul Khemuka,,scraped_techsparks2024
"Dr. Tapan SahooExecutive Officer, Head of Digital Enterprise, Maruti Suzuki India Limited",Dr. Tapan Sahoo,,scraped_techsparks2024
"Shradha SharmaFounder & CEO, YourStory",Shradha Sharma,,scraped_techsparks2024
